speccode,english_name,prev_status
0,grey partridge,
1,lapwing,
2,grasshopper warbler,
3,ptarmigan,g
4,whimbrel,
5,house martin,a
6,capercaillie,
7,curlew,
8,wood warbler,
9,black grouse,
10,black-tailed godwit,
11,starling,
12,bewick's swan,a
13,ruff,
14,mistle thrush,
15,white-fronted goose,
16,dunlin,a
17,fieldfare,
18,long-tailed duck,
19,purple sandpiper,a
20,ring ouzel,
21,velvet scoter,
22,woodcock,
23,spotted flycatcher,
24,common scoter,
25,red-necked phalarope,
26,nightingale,
27,goldeneye,a
28,kittiwake,
29,whinchat,
30,smew,a
31,herring gull,
32,house sparrow,
33,pochard,
34,roseate tern,
35,tree sparrow,
36,scaup,
37,arctic skua,
38,tree pipit,
39,red-necked grebe,
40,puffin,
41,yellow wagtail,
42,slavonian grebe,
43,hen harrier,
44,hawfinch,
45,turtle dove,
46,montagu’s harrier,a
47,greenfinch,g
48,swift,a
49,lesser spotted woodpecker,
50,twite,
51,cuckoo,
52,merlin,
53,linnet,
54,corncrake,
55,red-backed shrike,
56,redpoll,
57,leach's storm-petrel,a
58,marsh tit,
59,corn bunting,
60,balearic shearwater,
61,willow tit,
62,cirl bunting,
63,shag,
64,skylark,
65,yellowhammer,
66,dotterel,
67,marsh warbler,
68,ringed plover,
69,savi's warbler,
