speccode,english_name,prev_status
0,grey partridge,nc
1,lapwing,nc
2,grasshopper warbler,nc
3,ptarmigan,g
4,whimbrel,nc
5,house martin,a
6,capercaillie,nc
7,curlew,nc
8,wood warbler,nc
9,black grouse,nc
10,black-tailed godwit,nc
11,starling,nc
12,bewick's swan,a
13,ruff,nc
14,mistle thrush,nc
15,white-fronted goose,nc
16,dunlin,a
17,fieldfare,nc
18,long-tailed duck,nc
19,purple sandpiper,a
20,ring ouzel,nc
21,velvet scoter,nc
22,woodcock,nc
23,spotted flycatcher,nc
24,common scoter,nc
25,red-necked phalarope,nc
26,nightingale,nc
27,goldeneye,a
28,kittiwake,nc
29,whinchat,nc
30,smew,a
31,herring gull,nc
32,house sparrow,nc
33,pochard,nc
34,roseate tern,nc
35,tree sparrow,nc
36,scaup,nc
37,arctic skua,nc
38,tree pipit,nc
39,red-necked grebe,nc
40,puffin,nc
41,yellow wagtail,nc
42,slavonian grebe,nc
43,hen harrier,nc
44,hawfinch,nc
45,turtle dove,nc
46,montagu’s harrier,a
47,greenfinch,g
48,swift,a
49,lesser spotted woodpecker,nc
50,twite,nc
51,cuckoo,nc
52,merlin,nc
53,linnet,nc
54,corncrake,nc
55,red-backed shrike,nc
56,redpoll,nc
57,leach's storm-petrel,a
58,marsh tit,nc
59,corn bunting,nc
60,balearic shearwater,nc
61,willow tit,nc
62,cirl bunting,nc
63,shag,nc
64,skylark,nc
65,yellowhammer,nc
66,dotterel,nc
67,marsh warbler,nc
68,ringed plover,nc
69,savi's warbler,nc
